invoiceKey,invoiceNumber,organization,orgMatch,issueDate,currency,milestone,amountEur,amountRon,tier,confidence,proposedPartNumber,proposedContractRef,amountMatchedOn,trackerYear,issuer,trackerDescription,invoiceServiceText,candidateCount,reason,topCandidates,lineProposals
accounting:BT.BIT 246,BT.BIT 246,UNITED MEDIA SERVICES SRL,exact,2020-12-14,RON,,6000,34793.22,DETERMINISTIC,HIGH,RED-PEN-B-I-BP-50,177/08.12.2020,,2020,BSS,SERVICII DE SECURITATE INFORMATICA,SERVICII CONFORM CONTRACT NR. 177/ 08.12.2020 SERVICII CONFORM CONTRACT NR. 177/ 08.12.2020 6000 euro+TVA la cursul BNR,1,org exact; unique part# via contract 177,"[{""pn"":""RED-PEN-B-I-BP-50"",""score"":100,""on"":[""contract#""],""ref"":""177/08.12.2020"",""desc"":""SERVICII DE SECURITATE INFORMATICA""}]",
accounting:BT.BIT 247,BT.BIT 247,CERTSIGN SA,exact,2021-01-21,RON,avans,5100,29580.91,SCORED,MEDIUM,RED-PEN-B-I-BP-150,1/20.01.2021,avans,2021,BSS,pentest intern/extern,SERVICII CONFORM CONTRACT 17/19.01.2021/45B77B/21013C SERVICII CONFORM CONTRACT 17/19.01.2021/45B77B/21013C Comanda 1/20.01.2021(Avans 40% reprezentand 5.100 eu,8,"org exact; score=51 margin=43 on [amount~avans, data avans (0d)]; 1 distinct part# near top; avans","[{""pn"":""RED-PEN-B-I-BP-150"",""score"":51,""on"":[""amount~avans"",""data avans (0d)""],""ref"":""1/20.01.2021"",""desc"":""pentest intern/extern""},{""pn"":""CYBEREDU-RUN-EX-1"",""score"":8,""on"":[""data final (93d)""],""ref"":""NR.45/B77A/20166C"",""desc"":""CTF Infrastructure provision and support for ECSC participan""},{""pn"":""RED-PEN-B-I-BP-100"",""score"":4,""on"":[""data final (346d)""],""ref"":""153/09.01.2020"",""desc"":""pentest intern""}]",
accounting:BT.BIT 248,BT.BIT 248,CREATIVE MEDIA DEVELOPMENT SRL,none,2021-01-29,RON,,900,5220.27,UNRESOLVED,NONE,,,,,,,Livrabile servicii de securitate informatica în conf. cu Livrabile servicii de securitate informatica în conf. cu Anexa 10 act aditional 3 la CTR 112/29.01.2018,0,org not found in tracker,[],
accounting:BT.BIT 249,BT.BIT 249,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-02-01,RON,,12000,69605,SCORED,LOW,KS-MM-RD-2,236Bis/25.04.2019,final,2019,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for ianuarie 2021 Penetration testing services for ianuarie 2021 Purchase Order Number 9068000926( 12.000euro+TVA la cursul BNR),26,org exact; score=31 margin=0 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~total""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~final""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 250,BT.BIT 250,PINK POST OFFICE  SRL,none,2021-02-04,RON,avans,2400,13920.72,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT 180/21.01.2021 SERVICII CONFORM CONTRACT 180/21.01.2021 Avans 2400 euro+TVA la cursul BNR,0,org not found in tracker,[],
accounting:BT.BIT 251,BT.BIT 251,CREATIVE MEDIA DEVELOPMENT SRL,none,2021-02-15,RON,,450,2610.19,UNRESOLVED,NONE,,,,,,,SERVICI CONFORM CONTRACT NR.112 DIN 29.01.2018 SERVICI CONFORM CONTRACT NR.112 DIN 29.01.2018 ANEXA 13 - SERVICII DE EVALUARE VULNERABILITATI RETEA INTERNA( 450,0,org not found in tracker,[],
accounting:BT.BIT 252,BT.BIT 252,CERTSIGN SA,exact,2021-02-22,RON,storno,5100,44378.96,SCORED,MEDIUM,,Nr. 178/19.01.2021 45/B77B/21013 C,,2021,BSS,-,SERVICII CONFORM CONTRACT 178/19.01.2021/45B77B/21013C SERVICII CONFORM CONTRACT 178/19.01.2021/45B77B/21013C Comanda 1/20.01.2021(Avans 40% reprezentand 5.100 ,8,"org exact; score=53 margin=8 on [contract#, same year]; 1 distinct part# near top; storno","[{""pn"":"""",""score"":53,""on"":[""contract#"",""same year""],""ref"":""Nr. 178/19.01.2021 45/B77B/21013 C"",""desc"":""-""},{""pn"":""RED-PEN-B-I-BP-150"",""score"":45,""on"":[""amount~avans"",""data final (0d)""],""ref"":""1/20.01.2021"",""desc"":""pentest intern/extern""},{""pn"":""RED-PEN-S-B-3"",""score"":3,""on"":[""data avans (279d)""],""ref"":""NR. 1 DIN 15.05.2020"",""desc"":""pentest 3 aplicatii""}]","[{""service"":""SERVICII CONFORM CONTRACT 178/19.01.2021/45B77B/21013C | SER"",""partNumber"":"""",""score"":53,""on"":[""contract#"",""same year""]},{""service"":""SERVICII CONFORM CONTRACT 178/19.01.2021/45B77B/21013C | SER"",""partNumber"":"""",""score"":53,""on"":[""contract#"",""same year""]}]"
accounting:BT.BIT 253,BT.BIT 253,SMARTDREAMERS SOCIETATE PE ACTIUNI,none,2021-02-22,RON,,1250,7250.9,UNRESOLVED,NONE,,,,,,,SERVICI CONFORM CONTRACT NR.179 DIN 20.01.2021 SERVICI CONFORM CONTRACT NR.179 DIN 20.01.2021 1250 euro+TVA la cursul BNR,0,org not found in tracker,[],
accounting:BT.BIT 255,BT.BIT 255,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-03-02,RON,,11700,67866.27,SCORED,LOW,KS-MM-RD-2,236Bis/25.04.2019,final,2019,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for februarie 2021 Penetration testing services for februarie 2021 Purchase Order Number 9068000926(11.700 euro+TVA la cursul BNR),26,org exact; score=23 margin=0 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":23,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":23,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":23,""on"":[""amount~final""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 256,BT.BIT 256,ONLINE VENUES & EVENTS SRL,exact,2021-03-03,RON,avans,2200,12761.96,DETERMINISTIC,HIGH,RED-PEN-S-B-1,181/09.02.2021,,2021,BSS,pentest app,SERVICI CONFORM CONTRACT NR.181 DIN 09.02.2021 SERVICI CONFORM CONTRACT NR.181 DIN 09.02.2021 Avans 2.200 euro +TVA la cursul BNR,1,org exact; unique part# via contract 181; avans,"[{""pn"":""RED-PEN-S-B-1"",""score"":100,""on"":[""contract#""],""ref"":""181/09.02.2021"",""desc"":""pentest app""}]",
accounting:BT.BIT 257,BT.BIT 257,KAUFLAND ROMANIA SCS,none,2021-03-09,RON,,,74960.47,UNRESOLVED,NONE,,,,,,,"Pentest - Audit securitate Pentest - Audit securitate Comanda nr.: 7200320323 din 08/03/2021, Nr. material 5000000610",0,org not found in tracker,[],
accounting:BT.BIT 258,BT.BIT 258,SMARTDREAMERS SOCIETATE PE ACTIUNI,none,2021-03-16,RON,storno,1250,7280.79,UNRESOLVED,NONE,,,,,,,SERVICI CONFORM CONTRACT NR.179 DIN 20.01.2021 SERVICI CONFORM CONTRACT NR.179 DIN 20.01.2021 ( Stornare factura 253/22.02.2021) 1250 euro+TVA la cursul BNR Sto,0,org not found in tracker,[],
accounting:BT.BIT 259,BT.BIT 259,PINK POST OFFICE  SRL,none,2021-03-16,RON,storno,2400,20955.32,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT 180/21.01.2021 SERVICII CONFORM CONTRACT 180/21.01.2021 (Stornare factura 250/04.02.2021)Avans 2400 euro+TVA la cursul BNR Storneaza f,0,org not found in tracker,[],
accounting:BT.BIT 260,BT.BIT 260,CERTSIGN SA,exact,2021-03-16,RON,,1250,7268.07,SCORED,MEDIUM,,Nr. 178/19.01.2021 45/B77B/21013 C,,2021,BSS,-,SERVICII DE SECURITATE INFORMATICA COMANDA 2/27.02.2021 SERVICII DE SECURITATE INFORMATICA COMANDA 2/27.02.2021 CONTRACT 178/19.01.2021/45B77B/21013C proces ver,9,"org exact; score=53 margin=31 on [contract#, same year]; 0 distinct part# near top","[{""pn"":"""",""score"":53,""on"":[""contract#"",""same year""],""ref"":""Nr. 178/19.01.2021 45/B77B/21013 C"",""desc"":""-""},{""pn"":""RED-PEN-M-G-1"",""score"":22,""on"":[""amount~final""],""ref"":""7"",""desc"":""pentest arhivare (ELO)""},{""pn"":""RED-PEN-S-B-3"",""score"":15,""on"":[""amount~avans"",""data avans (301d)""],""ref"":""NR. 1 DIN 15.05.2020"",""desc"":""pentest 3 aplicatii""}]",
accounting:BT.BIT 263,BT.BIT 263,PASTEL AGE SRL,none,2021-04-01,RON,,1200,7033.04,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT 185 DIN 29.03.2021 SERVICII CONFORM CONTRACT 185 DIN 29.03.2021 PG3285( 1.200 euro+TVA la cursul BNR),0,org not found in tracker,[],
accounting:BT.BIT 262,BT.BIT 262,PENTESTTOOLS S.R.L.,none,2021-03-30,RON,,1500,8741.5,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT NR.184 DIN 16.03.2021 SERVICII CONFORM CONTRACT NR.184 DIN 16.03.2021 1.500 euro+TVA la cursul BNR,0,org not found in tracker,[],
accounting:BT.BIT 264,BT.BIT 264,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-04-01,RON,,12000,70330.43,SCORED,LOW,KS-MM-RD-2,236Bis/25.04.2019,final,2019,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for martie 2021 Penetration testing services for martie 2021 Purchase Order Number 9068000926( 12.000 euro+TVA la cursul BNR),26,org exact; score=31 margin=0 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~total""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~final""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 265,BT.BIT 265,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-05-04,RON,,12600,73854.45,SCORED,LOW,KS-MM-RD-2,236Bis/25.04.2019,final,2019,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for aprilie 2021 Penetration testing services for aprilie 2021 Purchase Order Number 9068000926( 12.600 euro+TVA la cursul BNR),26,org exact; score=31 margin=0 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":31,""on"":[""amount~total""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":26,""on"":[""amount~final"",""data final (269d)""],""ref"":""NO. 2 OF 25.10.2020"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 266,BT.BIT 266,ONLINE VENUES & EVENTS SRL,exact,2021-05-04,RON,storno,2200,19476.09,DETERMINISTIC,HIGH,RED-PEN-S-B-1,181/09.02.2021,,2021,BSS,pentest app,STORNARE FACTURA 256 DIN 03.03.2021 STORNARE FACTURA 256 DIN 03.03.2021 stornare avans 2.200 euro la cursul BNR | SERVICI CONFORM CONTRACT NR.181 DIN 09.02.2021,1,org exact; unique part# via contract 181; storno,"[{""pn"":""RED-PEN-S-B-1"",""score"":100,""on"":[""contract#""],""ref"":""181/09.02.2021"",""desc"":""pentest app""}]",
accounting:BT.BIT 267,BT.BIT 267,VALORIS CENTER SRL,exact,2021-05-04,RON,,2000,11722.93,DETERMINISTIC,HIGH,RED-VA-I-S-25,188/20.04.2021,,2021,BSS,VA,SERVICII CONFORM CONTRACT 188/20.04.2021 SERVICII CONFORM CONTRACT 188/20.04.2021 2.000 euro+TVA la cursul BNR,1,org exact; unique part# via contract 188,"[{""pn"":""RED-VA-I-S-25"",""score"":100,""on"":[""contract#""],""ref"":""188/20.04.2021"",""desc"":""VA""}]",
accounting:BT.BIT 268,BT.BIT 268,CUSTIFY SRL,exact,2021-05-17,RON,avans,1840,10784.44,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,191/17.05.2021,,2021,BSS,pentest web app,AVANS 40% SERVICII CONFORM CONTRACT 191/17.05.2021 AVANS 40% SERVICII CONFORM CONTRACT 191/17.05.2021 1840 euro+TVA la cursul BNR,1,org exact; unique part# via contract 191; avans,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""191/17.05.2021"",""desc"":""pentest web app""}]",
accounting:BT.BIT 269,BT.BIT 269,AIMS TIMISOARA S.R.L.,none,2021-05-17,RON,,1500,8792.2,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT 190/06.05.2021 SERVICII CONFORM CONTRACT 190/06.05.2021 1500 euro+TVA la cursul BNR,0,org not found in tracker,[],
accounting:BT.BIT 270,BT.BIT 270,CREATIVE MEDIA DEVELOPMENT SRL,none,2021-05-24,RON,,9200,53938.61,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM ACT ADITIONAL NR.4 DIN 15.02.2021 SERVICII CONFORM ACT ADITIONAL NR.4 DIN 15.02.2021 LA CONTRACT 112 DIN 29.01.2018(9.200 euro+TVA la cursul BN,0,org not found in tracker,[],
accounting:BT.BIT 271,BT.BIT 271,WHITE IMAGE LOYALTY SRL,exact,2021-05-31,RON,avans,4050,23710.98,UNRESOLVED,NONE,,,,,,,AVANS 50 % CONFORM CONTRACT NR.192 DIN 19.05.2021 AVANS 50 % CONFORM CONTRACT NR.192 DIN 19.05.2021 4.050 euro la cursul BNR,1,org exact; 1 activities but no signal matched,[],
accounting:BT.BIT 272,BT.BIT 272,CUSTIFY SRL,exact,2021-06-04,RON,storno,1840,16162.98,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,191/17.05.2021,,2021,BSS,pentest web app,STORNARE AVANS 40% SERVICII CONFORM CONTRACT 191/17.05.2021 STORNARE AVANS 40% SERVICII CONFORM CONTRACT 191/17.05.2021 Factura 268/17.05.2021(1840 euro+TVA la ,1,org exact; unique part# via contract 191/268; storno,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""191/17.05.2021"",""desc"":""pentest web app""}]",
accounting:BT.BIT 273,BT.BIT 273,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-06-04,RON,,12600,73812.46,SCORED,LOW,KS-MM-RD-2,236Bis/25.04.2019,final,2019,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for FY'21 Penetration testing services for FY'21 Purchase Order Number 9068001413 ( 12.600 euro+TVA la cursul BNR,27,org exact; score=32 margin=0 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":32,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":32,""on"":[""amount~total""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":27,""on"":[""amount~final"",""data final (238d)""],""ref"":""NO. 2 OF 25.10.2020"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 274,BT.BIT 274,RESTART ENERGY DEMOCRACY S.R.L.,exact,2021-06-18,RON,avans,8000,46886,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,193/09.06.2021,,2021,BSS,pentest aplicatie,SERVICII CONTRACT 193/09.06.2021 SERVICII CONTRACT 193/09.06.2021 8000 euro+TVA la cursul BNR reprezentand 50% avans,1,org exact; unique part# via contract 193; avans,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""193/09.06.2021"",""desc"":""pentest aplicatie""}]",
accounting:BT.BIT 275,BT.BIT 275,FUNDATIA ALEXANDRION,none,2021-06-22,RON,,,7325.94,UNRESOLVED,NONE,,,,,,,SERVICII CONFORM CONTRACT 194/22.02.2021 SERVICII CONFORM CONTRACT 194/22.02.2021,0,org not found in tracker,[],
accounting:BT.BIT 276,BT.BIT 276,WHITE IMAGE LOYALTY SRL,exact,2021-06-25,RON,storno,4050,23753.38,SCORED,LOW,RED-PEN-B-E-B-10,CONTRACT-CADRU DE PRESTARI SERVICII NR. 367/14.10.2025,,2025,BSS,servicii de pentest,STORNARE AVANS 50 % CONFORM CONTRACT NR.192 DIN 19.05.2021 STORNARE AVANS 50 % CONFORM CONTRACT NR.192 DIN 19.05.2021 4.050 euro la cursul BNR Storneaza factura,1,org exact; score=1 margin=1 on []; 1 distinct part# near top; storno,"[{""pn"":""RED-PEN-B-E-B-10"",""score"":1,""on"":[],""ref"":""CONTRACT-CADRU DE PRESTARI SERVICII NR. "",""desc"":""servicii de pentest""}]","[{""service"":""SERVICII CONFORM CONTRACT NR. 192/18.05.2021 | SERVICII CONF"",""partNumber"":""RED-PEN-B-E-B-10"",""score"":2,""on"":[]}]"
accounting:BT.BIT 277,BT.BIT 277,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-07-02,RON,,11400,66827.47,SCORED,LOW,KS-MM-RD-2,NO. 5 OF 04.10.2023,final,2023,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for FY'21 Penetration testing services for FY'21 Purchase Order Number 9068001413 ( 11.400 euro+TVA la cursul BNR),27,org exact; score=32 margin=8 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":32,""on"":[""amount~final""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":24,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":24,""on"":[""amount~total""],""ref"":""NO. 5 OF 04.10.2023"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 278,BT.BIT 278,ZONE CONSULTING IT S.R.L.,exact,2021-07-02,RON,,7150,41920.53,DETERMINISTIC,HIGH,BLUE-IR-50,196/29.06.2021,,2021,BSS,incident response,Servicii conform anexa 2 la contract nr.196/29.06.2021 Servicii conform anexa 2 la contract nr.196/29.06.2021 7.150euro+TVA la cursul BNR,1,org exact; unique part# via contract 196,"[{""pn"":""BLUE-IR-50"",""score"":100,""on"":[""contract#""],""ref"":""196/29.06.2021"",""desc"":""incident response""}]",
accounting:BT.BIT 279,BT.BIT 279,SILKWEB S.A.,exact,2021-07-12,RON,avans,3250,19057.11,DETERMINISTIC,HIGH,RED-PEN-S-G-1,195/29.06.2021,,2021,BSS,pentest web app greybox,SERVICII CONFORM ANEXA 1 LA CONTRACT 195/29.06.2021 SERVICII CONFORM ANEXA 1 LA CONTRACT 195/29.06.2021 50% avans reprezentand 3.250 euro+TVA la cursul BNR,1,org exact; unique part# via contract 195; avans,"[{""pn"":""RED-PEN-S-G-1"",""score"":100,""on"":[""contract#""],""ref"":""195/29.06.2021"",""desc"":""pentest web app greybox""}]",
accounting:BT.BIT 280,BT.BIT 280,RESTART ENERGY DEMOCRACY S.R.L.,exact,2021-07-26,RON,storno,8000,46826.98,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,193/09.06.2021,,2021,BSS,pentest aplicatie,STONARE FACTURA 274/18.06.2021 STONARE FACTURA 274/18.06.2021 stornare 8000 euro+TVA la cursul BNR reprezentand 50% avans | SERVICII CONTRACT 193/09.06.2021 | S,1,org exact; unique part# via contract 193/274; storno,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""193/09.06.2021"",""desc"":""pentest aplicatie""}]",
accounting:BT.BIT 281,BT.BIT 281,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-08-02,RON,,13200,77280.22,SCORED,LOW,KS-MM-RD-2,236Bis/25.04.2019,final,2019,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for FY'21 Penetration testing services for FY'21 Purchase Order Number 9068001413 ( 13.200 euro+TVA la cursul BNR),27,org exact; score=32 margin=5 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":32,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":27,""on"":[""amount~final"",""data final (179d)""],""ref"":""NO. 2 OF 25.10.2020"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":24,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 282,BT.BIT 282,ORANGE ROMANIA SA,exact,2021-08-16,RON,,4000,122745.88,SCORED,LOW,ORO-TEM-DEV-50,PO 40280009,final,2016,BSS,dezv,Fendly Discovery Scanner: Licenta 10000 de scanari Fendly Discovery Scanner: Licenta 10000 de scanari Nr Notificare C102686; Nr PO/Release 40444774: Nr Receptie,23,org exact; score=30 margin=8 on [amount~final]; 2 distinct part# near top,"[{""pn"":""ORO-TEM-DEV-50"",""score"":30,""on"":[""amount~final""],""ref"":""PO 40280009"",""desc"":""dezv""},{""pn"":""RED-PEN-B-E-B-5"",""score"":22,""on"":[""amount~final""],""ref"":""12.03.2024"",""desc"":""servicii de pentest""},{""pn"":""ORO-TEM-L-10000"",""score"":16,""on"":[""data final (0d)""],""ref"":""PO 40444774"",""desc"":""licente tem 2021""}]","[{""service"":""Fendly Discovery Scanner: Licenta 10000 de scanari | Fendly "",""partNumber"":""ORO-TEM-DEV-50"",""score"":30,""on"":[""amount~final""]},{""service"":""Fendly Network Pro Scanner: Licenta 10000 de scanari | Fendl"",""partNumber"":""ORO-TEM-DEV-79"",""score"":22,""on"":[""amount~final""]},{""service"":""Fendly Web Pro Scanner: Licenta 10000 de scanari | Fendly We"",""partNumber"":""PHISH-P-L-MM-F-250-3"",""score"":22,""on"":[""amount~final""]},{""service"":""Licenta Fendly Vulnerability Signal Monitor pentru 12 | Lice"",""partNumber"":""ORO-TEM-DEV-79"",""score"":22,""on"":[""amount~final""]}]"
accounting:BT.BIT 283,BT.BIT 283,CERTSIGN SA,exact,2021-08-16,RON,,1650,9644.3,SCORED,MEDIUM,,Nr. 178/19.01.2021 45/B77B/21013 C,,2021,BSS,-,SERVICII CONFORM CONTRACT DE PRESTARI SERVICII SERVICII CONFORM CONTRACT DE PRESTARI SERVICII Nr. certSIGN 45/B77B/21013 C Nr Bit Sentinel 178/19.01.2021; Accep,10,"org exact; score=53 margin=8 on [contract#, same year]; 1 distinct part# near top","[{""pn"":"""",""score"":53,""on"":[""contract#"",""same year""],""ref"":""Nr. 178/19.01.2021 45/B77B/21013 C"",""desc"":""-""},{""pn"":""RED-PEN-S-B-1"",""score"":45,""on"":[""amount~final"",""data final (0d)""],""ref"":""2/27.02.2021"",""desc"":""pentest app""},{""pn"":""RED-PEN-M-G-1"",""score"":22,""on"":[""amount~final""],""ref"":""6"",""desc"":""pentest""}]",
accounting:BT.BIT 284,BT.BIT 284,RESTART ENERGY DEMOCRACY S.R.L.,exact,2021-08-16,RON,avans,39375,23015.79,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,193/09.06.2021,,2021,BSS,pentest aplicatie,"SERVICII CONTRACT 193/09.06.2021 act aditional 1/04.08.2021 SERVICII CONTRACT 193/09.06.2021 act aditional 1/04.08.2021 Avans 50% reprezentand 3937,5 euro+TVA l",1,org exact; unique part# via contract 193; avans,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""193/09.06.2021"",""desc"":""pentest aplicatie""}]",
accounting:BT.BIT 285,BT.BIT 285,SILKWEB S.A.,exact,2021-08-25,RON,storno,3250,19064.06,DETERMINISTIC,HIGH,RED-PEN-S-G-1,195/29.06.2021,,2021,BSS,pentest web app greybox,SERVICII CONFORM ANEXA 1 LA CONTRACT 195/29.06.2021 SERVICII CONFORM ANEXA 1 LA CONTRACT 195/29.06.2021 stornare fact 279 reprezentand 50% avans reprezentand 3.,1,org exact; unique part# via contract 195; storno,"[{""pn"":""RED-PEN-S-G-1"",""score"":100,""on"":[""contract#""],""ref"":""195/29.06.2021"",""desc"":""pentest web app greybox""}]",
accounting:BT.BIT 286,BT.BIT 286,RESTART ENERGY DEMOCRACY S.R.L.,exact,2021-08-30,RON,storno,39375,18079.43,DETERMINISTIC,HIGH,RED-PEN-S-WB-1,193/09.06.2021,,2021,BSS,pentest aplicatie,"SERVICII CONTRACT 193/09.06.2021 act aditional 1/04.08.2021 SERVICII CONTRACT 193/09.06.2021 act aditional 1/04.08.2021 Stornare avans 50% reprezentand 3937,5 e",1,org exact; unique part# via contract 193; storno,"[{""pn"":""RED-PEN-S-WB-1"",""score"":100,""on"":[""contract#""],""ref"":""193/09.06.2021"",""desc"":""pentest aplicatie""}]",
accounting:BT.BIT 287,BT.BIT 287,KEYSIGHT TECHNOLOGIES RO SRL,exact,2021-09-01,RON,,13200,77511.13,SCORED,LOW,KS-MM-RD-2,236Bis/25.04.2019,final,2019,BSS,RECURRENT INFORMATION SECURITY SERVICES,Penetration testing services for FY'21 Penetration testing services for FY'21 Purchase Order Number 9068001413 ( 13.200 euro+TVA la cursul BNR),27,org exact; score=32 margin=5 on [amount~final]; 1 distinct part# near top,"[{""pn"":""KS-MM-RD-2"",""score"":32,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":27,""on"":[""amount~final"",""data final (149d)""],""ref"":""NO. 2 OF 25.10.2020"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""},{""pn"":""KS-MM-RD-2"",""score"":24,""on"":[""amount~final""],""ref"":""236Bis/25.04.2019"",""desc"":""RECURRENT INFORMATION SECURITY SERVICES""}]",
accounting:BT.BIT 288,BT.BIT 288,ALTEX ROMANIA SRL,exact,2021-09-01,RON,,2500,14680.14,DETERMINISTIC,HIGH,PHISH-P-L-MM-F-4000-12,CONTRACT NR. 21785 din 06.08.2021 198/30.07.2021,,2021,BSS,Phish Enterprise Fully-Managed Monthly License,SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 SERVICII CONFORM CONTRACT NR. 21785 comanda nr.1 2500 euro+TVA la cursul BNR,1,org exact; unique part# via contract 21785,"[{""pn"":""PHISH-P-L-MM-F-4000-12"",""score"":100,""on"":[""contract#""],""ref"":""CONTRACT NR. 21785 din 06.08.2021 198/30"",""desc"":""Phish Enterprise Fully-Managed Monthly License""}]",
